scheduler_type,elapsed_time_sec,job_a_state,job_b_state,allocated_gpus,productive_gpus,deadlocked_gpus,wasted_cost_usd,successful_jobs
standard,83,running_rendezvous,running_rendezvous,32,0,32,2.7402666666666664,0
standard,84,running_rendezvous,running_rendezvous,32,0,32,2.7728888888888887,0
standard,85,running_rendezvous,running_rendezvous,32,0,32,2.8055111111111106,0
standard,86,running_rendezvous,running_rendezvous,32,0,32,2.838133333333333,0
standard,87,running_rendezvous,running_rendezvous,32,0,32,2.8707555555555553,0
standard,88,running_rendezvous,running_rendezvous,32,0,32,2.9033777777777776,0
standard,89,running_rendezvous,running_rendezvous,32,0,32,2.936,0
standard,90,running_rendezvous,running_rendezvous,32,0,32,2.968622222222222,0
standard,91,running_rendezvous,running_rendezvous,32,0,32,3.001244444444444,0
standard,92,running_rendezvous,running_rendezvous,32,0,32,3.0338666666666665,0
standard,93,running_rendezvous,running_rendezvous,32,0,32,3.0664888888888884,0
standard,94,running_rendezvous,running_rendezvous,32,0,32,3.0991111111111107,0
standard,95,running_rendezvous,running_rendezvous,32,0,32,3.131733333333333,0
standard,96,running_rendezvous,running_rendezvous,32,0,32,3.1643555555555554,0
standard,97,running_rendezvous,running_rendezvous,32,0,32,3.1969777777777777,0
standard,98,running_rendezvous,running_rendezvous,32,0,32,3.2295999999999996,0
standard,99,running_rendezvous,running_rendezvous,32,0,32,3.262222222222222,0
standard,100,running_rendezvous,running_rendezvous,32,0,32,3.2948444444444442,0
standard,101,running_rendezvous,running_rendezvous,32,0,32,3.327466666666666,0
standard,102,running_rendezvous,running_rendezvous,32,0,32,3.3600888888888885,0
standard,103,running_rendezvous,running_rendezvous,32,0,32,3.392711111111111,0
standard,104,running_rendezvous,running_rendezvous,32,0,32,3.425333333333333,0
standard,105,running_rendezvous,running_rendezvous,32,0,32,3.4579555555555554,0
standard,106,running_rendezvous,running_rendezvous,32,0,32,3.4905777777777773,0
standard,107,running_rendezvous,running_rendezvous,32,0,32,3.5231999999999997,0
standard,108,running_rendezvous,running_rendezvous,32,0,32,3.555822222222222,0
standard,109,running_rendezvous,running_rendezvous,32,0,32,3.588444444444444,0
standard,110,running_rendezvous,running_rendezvous,32,0,32,3.621066666666666,0
standard,111,running_rendezvous,running_rendezvous,32,0,32,3.6536888888888885,0
standard,112,running_rendezvous,running_rendezvous,32,0,32,3.686311111111111,0
standard,113,running_rendezvous,running_rendezvous,32,0,32,3.718933333333333,0
standard,114,running_rendezvous,running_rendezvous,32,0,32,3.751555555555555,0
standard,115,running_rendezvous,running_rendezvous,32,0,32,3.7841777777777774,0
standard,116,running_rendezvous,running_rendezvous,32,0,32,3.8167999999999997,0
standard,117,running_rendezvous,running_rendezvous,32,0,32,3.8494222222222216,0
standard,118,running_rendezvous,running_rendezvous,32,0,32,3.882044444444444,0
standard,119,running_rendezvous,running_rendezvous,32,0,32,3.9146666666666663,0
standard,120,running_rendezvous,running_rendezvous,32,0,32,3.9472888888888886,0
standard,121,running_rendezvous,running_rendezvous,32,0,32,3.979911111111111,0
standard,122,running_rendezvous,running_rendezvous,32,0,32,4.012533333333333,0
standard,123,running_rendezvous,running_rendezvous,32,0,32,4.045155555555555,0
standard,124,running_rendezvous,running_rendezvous,32,0,32,4.0777777777777775,0
standard,125,running_rendezvous,running_rendezvous,32,0,32,4.110399999999999,0
standard,126,running_rendezvous,running_rendezvous,32,0,32,4.143022222222222,0
standard,127,running_rendezvous,running_rendezvous,32,0,32,4.175644444444444,0
standard,128,running_rendezvous,running_rendezvous,32,0,32,4.208266666666666,0
standard,129,running_rendezvous,running_rendezvous,32,0,32,4.240888888888889,0
standard,130,running_rendezvous,running_rendezvous,32,0,32,4.273511111111111,0
standard,131,running_rendezvous,running_rendezvous,32,0,32,4.306133333333333,0
standard,132,running_rendezvous,running_rendezvous,32,0,32,4.338755555555555,0
standard,133,running_rendezvous,running_rendezvous,32,0,32,4.371377777777777,0
standard,134,running_rendezvous,running_rendezvous,32,0,32,4.404,0
standard,135,running_rendezvous,running_rendezvous,32,0,32,4.436622222222222,0
standard,136,running_rendezvous,running_rendezvous,32,0,32,4.469244444444444,0
standard,137,running_rendezvous,running_rendezvous,32,0,32,4.5018666666666665,0
standard,138,running_rendezvous,running_rendezvous,32,0,32,4.534488888888888,0
standard,139,running_rendezvous,running_rendezvous,32,0,32,4.56711111111111,0
standard,140,running_rendezvous,running_rendezvous,32,0,32,4.599733333333333,0
standard,141,running_rendezvous,running_rendezvous,32,0,32,4.632355555555555,0
standard,142,running_rendezvous,running_rendezvous,32,0,32,4.664977777777778,0
standard,143,running_rendezvous,running_rendezvous,32,0,32,4.6975999999999996,0
standard,144,running_rendezvous,running_rendezvous,32,0,32,4.730222222222221,0
standard,145,running_rendezvous,running_rendezvous,32,0,32,4.762844444444444,0
standard,146,running_rendezvous,running_rendezvous,32,0,32,4.795466666666666,0
standard,147,running_rendezvous,running_rendezvous,32,0,32,4.828088888888889,0
standard,148,running_rendezvous,running_rendezvous,32,0,32,4.860711111111111,0
standard,149,running_rendezvous,running_rendezvous,32,0,32,4.893333333333333,0
standard,150,running_rendezvous,running_rendezvous,32,0,32,4.925955555555555,0
standard,151,running_rendezvous,running_rendezvous,32,0,32,4.958577777777777,0
standard,152,running_rendezvous,running_rendezvous,32,0,32,4.991199999999999,0
standard,153,running_rendezvous,running_rendezvous,32,0,32,5.023822222222222,0
standard,154,running_rendezvous,running_rendezvous,32,0,32,5.056444444444444,0
standard,155,running_rendezvous,running_rendezvous,32,0,32,5.089066666666666,0
standard,156,running_rendezvous,running_rendezvous,32,0,32,5.1216888888888885,0
standard,157,running_rendezvous,running_rendezvous,32,0,32,5.15431111111111,0
standard,158,running_rendezvous,running_rendezvous,32,0,32,5.186933333333333,0
standard,159,running_rendezvous,running_rendezvous,32,0,32,5.219555555555555,0
standard,160,running_rendezvous,running_rendezvous,32,0,32,5.252177777777777,0
standard,161,running_rendezvous,running_rendezvous,32,0,32,5.2848,0
standard,162,running_rendezvous,running_rendezvous,32,0,32,5.317422222222222,0
standard,163,running_rendezvous,running_rendezvous,32,0,32,5.350044444444444,0
standard,164,running_rendezvous,running_rendezvous,32,0,32,5.382666666666666,0
standard,165,running_rendezvous,running_rendezvous,32,0,32,5.415288888888888,0
standard,166,running_rendezvous,running_rendezvous,32,0,32,5.447911111111111,0
standard,167,running_rendezvous,running_rendezvous,32,0,32,5.480533333333333,0
standard,168,running_rendezvous,running_rendezvous,32,0,32,5.513155555555555,0
standard,169,running_rendezvous,running_rendezvous,32,0,32,5.5457777777777775,0
standard,170,running_rendezvous,running_rendezvous,32,0,32,5.578399999999999,0
standard,171,running_rendezvous,running_rendezvous,32,0,32,5.611022222222221,0
standard,172,running_rendezvous,running_rendezvous,32,0,32,5.643644444444444,0
standard,173,running_rendezvous,running_rendezvous,32,0,32,5.676266666666666,0
standard,174,running_rendezvous,running_rendezvous,32,0,32,5.708888888888889,0
standard,175,running_rendezvous,running_rendezvous,32,0,32,5.741511111111111,0
standard,176,running_rendezvous,running_rendezvous,32,0,32,5.7741333333333325,0
standard,177,running_rendezvous,running_rendezvous,32,0,32,5.806755555555555,0
standard,178,running_rendezvous,running_rendezvous,32,0,32,5.839377777777777,0
standard,179,running_rendezvous,running_rendezvous,32,0,32,5.872,0
standard,180,running_rendezvous,running_rendezvous,32,0,32,5.904622222222222,0
standard,181,running_rendezvous,running_rendezvous,32,0,32,5.937244444444444,0
standard,182,running_rendezvous,running_rendezvous,32,0,32,5.969866666666666,0
standard,183,running_rendezvous,running_rendezvous,32,0,32,6.002488888888888,0
standard,184,running_rendezvous,running_rendezvous,32,0,32,6.03511111111111,0
standard,185,running_rendezvous,running_rendezvous,32,0,32,6.067733333333333,0
standard,186,running_rendezvous,running_rendezvous,32,0,32,6.100355555555555,0
standard,187,running_rendezvous,running_rendezvous,32,0,32,6.132977777777777,0
standard,188,running_rendezvous,running_rendezvous,32,0,32,6.1655999999999995,0
standard,189,running_rendezvous,running_rendezvous,32,0,32,6.198222222222221,0
standard,190,running_rendezvous,running_rendezvous,32,0,32,6.230844444444444,0
standard,191,running_rendezvous,running_rendezvous,32,0,32,6.263466666666666,0
standard,192,running_rendezvous,running_rendezvous,32,0,32,6.296088888888888,0
